user_id,transaction_type,merchant_type_code,amount_cents,datetime
88333,PurchaseActivity,7392,6900,2023-05-16T00:28:42.14579
38493,PurchaseActivity,5732,4997,2023-03-24T12:13:55.351537
38493,PurchaseActivity,5732,34997,2023-05-16T00:29:41.754315
38493,PurchaseActivity,5732,9997,2023-03-24T12:22:49.413128
46413,PurchaseActivity,5816,1971,2023-05-16T02:16:15.16995
38493,PurchaseActivity,5732,4997,2023-03-24T12:23:11.562625
46253,PurchaseActivity,6513,300000,2023-03-24T12:38:23.166943
28653,PurchaseActivity,5300,70996,2023-05-16T04:14:42.61756
18973,PurchaseActivity,7298,58423,2023-03-24T12:40:02.614859
5853,PurchaseActivity,6513,111806,2023-05-16T04:15:32.729516
28653,PurchaseActivity,5300,70996,2023-05-16T07:13:03.778068
73053,PurchaseActivity,5300,70996,2023-05-16T07:14:29.832756
103293,PurchaseActivity,8220,67500,2023-05-16T08:19:28.529871
31373,PurchaseActivity,5310,74995,2023-03-25T11:31:26.215181
38493,PurchaseActivity,5732,14995,2023-03-25T11:34:01.18784
6893,PurchaseActivity,8011,8451,2023-03-25T11:44:21.301987
96973,PurchaseActivity,8299,3616,2023-05-16T21:23:13.974461
21853,PurchaseActivity,7299,299439,2023-03-25T11:50:35.969369
38493,PurchaseActivity,5732,15995,2023-03-25T11:59:58.325634
28653,PurchaseActivity,5300,146996,2023-05-17T01:14:42.822992
20413,PurchaseActivity,5311,19485,2023-03-25T11:53:58.119213
103533,PurchaseActivity,6300,40000,2023-05-17T04:21:11.879003
20413,PurchaseActivity,5311,18000,2023-03-25T11:58:02.61876
38493,ReturnActivity,5732,3997,2023-03-25T12:01:45.93226
51213,PurchaseActivity,5300,38534,2023-04-26T11:37:07.099914
32653,PurchaseActivity,5999,2319,2023-04-26T11:40:25.614917
103533,PurchaseActivity,6300,40000,2023-05-17T04:21:18.684775
85213,PurchaseActivity,5942,500,2023-03-25T12:08:51.032911
5453,PurchaseActivity,7298,60731,2023-04-26T11:40:05.623608
34893,PurchaseActivity,5732,119997,2023-03-25T12:15:04.704542
9453,PurchaseActivity,5310,49500,2023-04-26T11:59:26.774906
51213,PurchaseActivity,4900,57178,2023-04-26T12:02:46.374792
37133,PurchaseActivity,5300,4000,2023-05-17T06:18:25.461664
34893,PurchaseActivity,5732,119997,2023-03-25T12:27:36.213375
91293,PurchaseActivity,4829,515,2023-04-26T12:05:25.631728
60653,PurchaseActivity,5942,1741,2023-05-17T10:28:32.292741
46253,PurchaseActivity,6513,177366,2023-03-25T12:33:32.794316
333,PurchaseActivity,5311,16875,2023-03-25T12:35:49.0712
56333,PurchaseActivity,8011,35840,2023-04-26T12:11:11.983084
95373,PurchaseActivity,5814,1000,2023-04-26T12:12:32.947496
8093,PurchaseActivity,1761,60564,2023-04-26T12:14:35.670221
91293,PurchaseActivity,4829,515,2023-04-26T12:28:13.441282
76893,PurchaseActivity,4899,2334,2023-04-26T12:29:01.051111
28653,PurchaseActivity,5300,73498,2023-05-17T17:14:36.17919
18813,PurchaseActivity,4900,80000,2023-05-17T23:12:19.521157
18813,PurchaseActivity,4900,35000,2023-05-17T23:14:49.368457
18813,PurchaseActivity,4900,20000,2023-05-17T23:15:13.916509
6253,PurchaseActivity,5947,99938,2023-05-18T01:19:12.79571
83933,PurchaseActivity,7392,10900,2023-05-18T09:19:00.837471
21853,PurchaseActivity,7299,102900,2023-03-27T11:22:24.125101
21853,PurchaseActivity,7299,299439,2023-03-27T11:23:25.789224
85533,PurchaseActivity,5817,60050,2023-03-27T11:24:41.892066
91533,PurchaseActivity,5942,3599,2023-04-27T11:24:20.518691
8093,PurchaseActivity,5815,2899,2023-04-27T11:29:12.86148
91293,PurchaseActivity,4829,515,2023-04-27T11:36:49.227488
85533,PurchaseActivity,5817,45000,2023-03-27T11:57:31.465743
18973,PurchaseActivity,7298,60912,2023-04-27T11:30:52.059383
91293,PurchaseActivity,4829,515,2023-04-27T11:54:41.100425
91293,PurchaseActivity,4829,515,2023-04-27T11:40:26.74604
8093,PurchaseActivity,9399,3100,2023-04-27T11:45:34.019388
5453,PurchaseActivity,7298,60134,2023-04-27T11:53:48.067485
56333,PurchaseActivity,5651,10593,2023-04-27T12:02:25.749931
9453,PurchaseActivity,5310,35800,2023-04-27T11:58:33.560763
96253,PurchaseActivity,5045,92590,2023-04-27T12:09:50.400331
96253,PurchaseActivity,5045,69442,2023-04-27T12:11:20.186333
91293,PurchaseActivity,4829,515,2023-04-27T12:24:50.272175
91293,PurchaseActivity,4829,515,2023-05-18T19:15:43.970693
4413,PurchaseActivity,5399,21900,2023-05-18T19:17:53.364484
